RouteSurKey,Organization_Name,Time,Location,latitude,longitude,mean
1133,EPA,1/18/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,11.72916667
1134,EPA,1/18/2017,LIBERTY SCHOOL,41.864426,-87.748902,13.50833333
1135,EPA,1/18/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,10.08333333
1136,EPA,1/18/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,11.7
1137,EPA,1/18/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,10.31666667
1138,EPA,1/18/2017,VILLAGE GARAGE,41.670992,-87.732457,8.9
1139,EPA,1/19/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,19.976
1140,EPA,1/19/2017,GRAVES ES,41.782766,-87.805377,19.2
1141,EPA,1/19/2017,IEPA TRAILER,41.965193,-87.876265,23.8
1142,EPA,1/19/2017,LIBERTY SCHOOL,41.864426,-87.748902,19.864
1143,EPA,1/19/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,23.3
1144,EPA,1/19/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,20.94
1145,EPA,1/19/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,23.09166667
1146,EPA,1/19/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,21.376
1147,EPA,1/19/2017,VILLAGE GARAGE,41.670992,-87.732457,14.416
1148,EPA,1/19/2017,VILLAGE HALL,41.80118,-87.832349,18.9
1149,EPA,1/19/2017,WASHINGTON HS,41.687165,-87.539315,17.8
1150,EPA,1/20/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,14.95
1151,EPA,1/20/2017,LIBERTY SCHOOL,41.864426,-87.748902,20.42083333
1152,EPA,1/20/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,13.075
1153,EPA,1/20/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,18.17083333
1154,EPA,1/20/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,18.40833333
1155,EPA,1/20/2017,VILLAGE GARAGE,41.670992,-87.732457,12.36666667
1156,EPA,1/21/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,12.35416667
